Airport_code,Page_Rank
YIP,7.225277222777223
SJC,7.225277222777223
DWH,3.612713536463536
ONT,3.612713536463536
SMO,3.612713536463536
NOT,3.612713536463536
MWL,3.612713536463536
HYA,3.6126386113886113
BVO,3.6126386113886113
TN8,3.6126386113886113
GNV,3.6126386113886113
PSP,3.6126386113886113
CIB,3.6126386113886113
SJC,3.6126386113886113
SBA,3.6126386113886113
ID1,3.6126386113886113
MQY,3.6126386113886113
SBA,3.6126386113886113
BKE,3.6126386113886113
BTR,3.6126386113886113
CRW,3.6126386113886113
GKN,2.4085256410256406
GKN,2.4085256410256406
TEB,2.4085256410256406
DRT,2.4085256410256406
BNA,2.4085256410256406
MQY,2.4085256410256406
MCO,2.408425740925741
MCO,2.408425740925741
MQY,2.408425740925741
MYK,2.408425740925741
ANC,2.408425740925741
MXY,2.408425740925741
MYK,2.408425740925741
ANC,2.408425740925741
MXY,2.408425740925741
BOS,2.408425740925741
BWI,2.408425740925741
LEB,2.408425740925741
ABQ,2.408425740925741
PHX,2.408425740925741
BRO,2.408425740925741
OXC,2.408425740925741
CDW,2.408425740925741
HTO,2.408425740925741
CPR,1.8064316933066933
UAM,1.8064316933066933
ACY,1.806356768231768
MXE,1.806356768231768
GSO,1.806356768231768
TIK,1.806356768231768
FRY,1.806356768231768
ACK,1.806356768231768
ACY,1.806356768231768
2NC,1.806356768231768
PDX,1.806356768231768
PDX,1.806356768231768
PDX,1.806356768231768
PDX,1.806356768231768
NY1,1.806356768231768
FOK,1.806356768231768
MMU,1.806356768231768
CHS,1.806356768231768
MPB,1.806356768231768
FLL,1.806356768231768
SAT,1.806356768231768
NHK,1.806356768231768
HTO,1.8063193056943057
ACK,1.8063193056943057
MMU,1.8063193056943057
MDW,1.8063193056943057
MEM,1.8063193056943057
ATL,1.8063193056943057
BTR,1.8063193056943057
IN2,1.8063193056943057
SIT,1.4451753246753247
CDB,1.4451753246753247
JZT,1.4451753246753247
GTR,1.4450554445554444
YIP,1.4450554445554444
DTN,1.4450554445554444
SUS,1.4450554445554444
YIP,1.4450554445554444
FOK,1.4450554445554444
JRA,1.4450554445554444
FRG,1.4450554445554444
TEB,1.4450554445554444
TSS,1.4450554445554444
MVY,1.4450554445554444
BDL,1.4450554445554444
BOS,1.4450554445554444
HTO,1.4450554445554444
HPN,1.4450554445554444
COU,1.4450554445554444
SAN,1.4450554445554444
JAC,1.4450554445554444
SBD,1.4450554445554444
FCA,1.4450554445554444
CPR,1.2043377455877455
HTO,1.2043377455877455
TKJ,1.2043377455877455
EDF,1.2043377455877455
FAI,1.2042628205128203
IRC,1.2042628205128203
QMA,1.2042628205128203
TEB,1.2042628205128203
ORD,1.2042628205128203
CMX,1.2042628205128203
FAI,1.2042628205128203
MLY,1.2042628205128203
PSM,1.2042628205128203
MMU,1.2042628205128203
MCG,1.2042628205128203
MRI,1.2042628205128203
DFW,1.2042628205128203
DFW,1.2042628205128203
WFB,1.2042628205128203
WFB,1.2042628205128203
MNT,1.2042378454878453
RMP,1.2042378454878453
FAI,1.2042378454878453
IND,1.2042378454878453
SAV,1.2042378454878453
N3C,1.2042378454878453
YIP,1.2042378454878453
DTO,1.2042378454878453
BUF,1.2042378454878453
CEM,1.2042378454878453
FAI,1.2042378454878453
EAA,1.2042378454878453
LQK,1.2042378454878453
SVH,1.2042378454878453
MQY,1.2042378454878453
VNY,1.2042378454878453
TEB,1.2042378454878453
OAK,1.2042378454878453
CLD,1.2042378454878453
OPF,1.2042378454878453
SAN,1.2042378454878453
CVG,1.2042128704628705
HYA,1.2042128704628705
CPS,1.2042128704628705
AUS,1.2042128704628705
SDF,1.2042128704628705
HVN,1.2042128704628705
DTW,1.2042128704628705
DTW,1.2042128704628705
SFB,1.2042128704628705
SFB,1.2042128704628705
PIE,1.2042128704628705
ROC,1.2042128704628705
ANC,1.2042128704628705
FYU,1.2042128704628705
ANC,1.2042128704628705
BET,1.2042128704628705
SYA,1.2042128704628705
EDF,1.2042128704628705
ANC,1.2042128704628705
FYU,1.2042128704628705
ANC,1.2042128704628705
BET,1.2042128704628705
SYA,1.2042128704628705
EDF,1.2042128704628705
HKY,1.2042128704628705
DFW,1.2042128704628705
DFW,1.2042128704628705
SAT,1.2042128704628705
GSO,1.2042128704628705
GSP,1.2042128704628705
MCG,1.2042128704628705
MTX,1.2042128704628705
PPC,1.2042128704628705
PPC,1.2042128704628705
PPC,1.2042128704628705
ENN,1.2042128704628705
CKX,1.2042128704628705
CZN,1.2042128704628705
HKB,1.2042128704628705
CZN,1.2042128704628705
FAI,1.2042128704628705
HNS,1.2042128704628705
CLD,1.032310903382332
TN8,1.032310903382332
SMF,1.032310903382332
ECP,1.032182460396746
MQY,1.032182460396746
MO4,1.032182460396746
GLR,1.032182460396746
APA,1.032182460396746
APF,1.032182460396746
DSI,1.032182460396746
EEN,0.9032158466533466
PBI,0.9032158466533466
GSP,0.9032158466533466
VNY,0.9032158466533466
RFD,0.903178384115884
IAH,0.903178384115884
LAX,0.903178384115884
LAX,0.903178384115884
HTO,0.903178384115884
CTH,0.903178384115884
TYS,0.903178384115884
SHR,0.903178384115884
SDF,0.8029417804417803
OME,0.8029417804417803
WFB,0.8029417804417803
MNZ,0.8028418803418802
BIS,0.8028418803418802
PBI,0.8028418803418802
A1K,0.8028418803418802
SCC,0.8028418803418802
SCC,0.8028418803418802
HTO,0.8028418803418802
BDR,0.8028418803418802
QNY,0.8028418803418802
ANC,0.8028418803418802
BET,0.8028418803418802
EMK,0.8028418803418802
OXC,0.8028418803418802
CDW,0.8028418803418802
HTO,0.8028418803418802
LRD,0.8028085803085803
AFW,0.8028085803085803
ATY,0.8028085803085803
TOL,0.8028085803085803
DRT,0.8028085803085803
MCI,0.8028085803085803
MBS,0.8028085803085803
MI2,0.8028085803085803
BIS,0.8028085803085803
SBA,0.8028085803085803
TKF,0.8028085803085803
HHR,0.8028085803085803
RNO,0.8028085803085803
SAC,0.8028085803085803
SBA,0.8028085803085803
HHR,0.8028085803085803
OAK,0.8028085803085803
TKF,0.8028085803085803
PGA,0.7226625874125874
PGA,0.7226625874125874
PGA,0.7226625874125874
HPN,0.7225876623376624
OSU,0.7225876623376624
SNA,0.7225876623376624
VNY,0.7225876623376624
ORD,0.7225876623376624
CMX,0.7225876623376624
CVG,0.7225876623376624
MIA,0.7225876623376624
SIT,0.7225876623376624
PTD,0.7225876623376624
TEB,0.7225876623376624
MQY,0.7225876623376624
PDT,0.7225876623376624
PDT,0.7225876623376624
PDT,0.7225876623376624
PDT,0.7225876623376624
ORD,0.7225876623376624
CKB,0.7225876623376624
TEB,0.7225876623376624
N4Y,0.7225876623376624
FOK,0.7225427072927072
JRA,0.7225427072927072
FRG,0.7225427072927072
TEB,0.7225427072927072
TSS,0.7225427072927072
GEG,0.7225427072927072
LGD,0.7225427072927072
PDX,0.7225427072927072
GEG,0.7225427072927072
LGD,0.7225427072927072
GEG,0.7225427072927072
LGD,0.7225427072927072
PDX,0.7225427072927072
GEG,0.7225427072927072
LGD,0.7225427072927072
SIT,0.7225427072927072
2AK,0.7225427072927072
PTL,0.7225427072927072
SIT,0.7225427072927072
SIT,0.7225427072927072
ORD,0.7225427072927072
ORD,0.7225427072927072
MKE,0.7225427072927072
ESC,0.7225427072927072
RHI,0.7225427072927072
FOK,0.7225277222777222
BWI,0.7225277222777222
MSP,0.7225277222777222
LNY,0.7225277222777222
VNY,0.7225277222777222
SDF,0.7225277222777222
VNY,0.7225277222777222
KOA,0.7225277222777222
IAD,0.7225277222777222
VNY,0.7225277222777222
PGA,0.7225277222777222
UXR,0.7225277222777222
BLD,0.7225277222777222
BCE,0.7225277222777222
PGA,0.7225277222777222
UXR,0.7225277222777222
HHR,0.7225277222777222
PHX,0.7225277222777222
PGA,0.7225277222777222
VNY,0.7225277222777222
PGA,0.7225277222777222
UXR,0.7225277222777222
BLD,0.7225277222777222
BCE,0.7225277222777222
PGA,0.7225277222777222
UXR,0.7225277222777222
HHR,0.7225277222777222
PHX,0.7225277222777222
PGA,0.7225277222777222
VNY,0.7225277222777222
NPA,0.7225277222777222
ORD,0.7225277222777222
IAH,0.7225277222777222
